Gl code,GL Description,BSPL,Major,Minor,Total June 25
12021010,Office Equipment-cost,BS,"Property, plant and equipment",Tangible assets,351535.43
12021910,Accum. Dep Office Equipment,BS,"Property, plant and equipment",Tangible assets,-325268.6
12031010,Computers-cost,BS,"Property, plant and equipment",Tangible assets,555393.96
12031910,Accum. Dep computers,BS,"Property, plant and equipment",Tangible assets,-319402.82
12011010,Furniture & Fittings-cost,BS,"Property, plant and equipment",Tangible assets,96801.44
12011910,Accum. Dep Furniture and Fittings,BS,"Property, plant and equipment",Tangible assets,-95536.78
12051010,Renovation-cost,BS,,,717101.26
12051910,Accum. Dep Renovation,BS,,,-717101.26
12061010,Motor Vehicle-cost,BS,,,10350.0
12061910,Accum. Dep Motor Vehicle,BS,,,-4398.75
12091010,Laboratory Equipment - Cost,BS,"Property, plant and equipment",Tangible assets,937792.21
12091910,Accum. Dep Lab Equipment,BS,"Property, plant and equipment",Tangible assets,-805070.46
12101010,Work In Progress - Cost,BS,,,0.0
,,BS,,,0.0
12081010,Tools & Equipment-cost,BS,"Property, plant and equipment",Tangible assets,25891.54
12081910,Accum. Dep T/E,BS,,,-4315.26
ROU,ROU,BS,,,852392.0129554854
AD ROU,AD ROU,BS,,,-395419.2694657028
,,BS,,,0.0
,,BS,,,0.0
,,BS,,,0.0
,,BS,,,0.0
,,BS,,,0.0
,,BS,Depreciation and amortisation expense,Depreciation on tangible assets,0.0
,,BS,Depreciation and amortisation expense,Depreciation on tangible assets,352081.90999999986
,,BS,Other expenses,Rent,0.0
14011010,Trade Debtors-Local,BS,Trade receivables,Considered good,3781815.91
14011020,Trade Debtors-Foreign,BS,Trade receivables,Considered good,15636.0
14011030,Trade Debtors-Local-Interco,BS,Trade receivables,Considered good,0.0
14011040,Trade Debtors-Foreign-Interco,BS,Trade receivables,Considered good,0.0
14012000,Provision for Doubtful Debts,BS,,,0.0
14030100,Closing Stock,BS,Inventories,Finished goods,2515449.88
14030200,Inventory - Goods In Transit,BS,Inventories,Finished goods,0.0
14015100,Sundry Deposits,BS,Cash and cash equivalents,Balances with banks in current accounts,81637.01
14016100,Advance Trident Freight,BS,,,5786.05
14016200,Advance DHL Express,BS,,,801.6
14016300,Advance Geodis Wilson,BS,,,5260.92
14016400,Advance World Asia Logisttics,BS,,,1863.95
14016500,Advance Staff,BS,,,4083.35
14015200,Prepayment to Supplier,BS,,,713984.79
,,BS,,,0.0
14022010,Other Debtors-Local,BS,Trade receivables,Considered good,-191593.0
14022020,Other Debtors-Foreign,BS,Trade receivables,Considered good,0.0
14050010,Bank - SCB 8613 (MYR),BS,Cash and cash equivalents,Balances with banks in current accounts,1521475.95
