Gl code,GL Description,BSPL,Major,Minor,Total June 25
12021010,Office Equipment-cost,BS,Property plant and equipment,Office equipment,351535.43
12021910,Accum. Dep Office Equipment,BS,Property plant and equipment,Office equipment AD,-325268.6
12031010,Computers-cost,BS,Property plant and equipment,Computer,555393.96
12031910,Accum. Dep computers,BS,Property plant and equipment,Computer-AD,-319402.82
12011010,Furniture & Fittings-cost,BS,Property plant and equipment,Furniture and Fittiings,96801.44
12011910,Accum. Dep Furniture and Fittings,BS,Property plant and equipment,Furniture and Fittiings AD,-95536.78
12051010,Renovation-cost,BS,Property plant and equipment,Renovation,717101.26
12051910,Accum. Dep Renovation,BS,Property plant and equipment,Renovation-AD,-717101.26
12061010,Motor Vehicle-cost,BS,Property plant and equipment,Motor Vehicle,10350.0
12061910,Accum. Dep Motor Vehicle,BS,Property plant and equipment,Motor Vehicle AD,-4398.75
12091010,Laboratory Equipment - Cost,BS,Property plant and equipment,Plant and machinery,937792.21
12091910,Accum. Dep Lab Equipment,BS,Property plant and equipment,Plant and machinery AD,-805070.46
12081010,Tools & Equipment-cost,BS,Property plant and equipment,Plant and machinery,25891.54
12081910,Accum. Dep T/E,BS,Property plant and equipment,Plant and machinery AD,-4315.26
ROU,ROU,BS,Right of use,Right of use Cost,852392.0129554854
AD ROU,AD ROU,BS,Right of use,Right of use Accumulated dep,-395419.2694657028
14011010,Trade Debtors-Local,BS,Trade receivables,Trade Receivables considered good – unsecured,3781815.91
14011020,Trade Debtors-Foreign,BS,Trade receivables,Trade Receivables considered good – unsecured,15636.0
14011030,Trade Debtors-Local-Interco,BS,Trade receivables,Trade Receivables considered good – unsecured,0.0
14011040,Trade Debtors-Foreign-Interco,BS,Trade receivables,Trade Receivables considered good – unsecured,0.0
14012000,Provision for Doubtful Debts,BS,Trade receivables,"Unsecured, considered impaired",0.0
14030100,Closing Stock,BS,Inventories,Traded goods,2515449.88
14030200,Inventory - Goods In Transit,BS,Inventories,Goods in Transit,0.0
14015100,Sundry Deposits,BS,Other financial assets,Security deposits (OFA-Current),81637.01
14016100,Advance Trident Freight,BS,Other current assets,Prepaid expenses (OCA),5786.05
14016200,Advance DHL Express,BS,Other current assets,Prepaid expenses (OCA),801.6
14016300,Advance Geodis Wilson,BS,Other current assets,Prepaid expenses (OCA),5260.92
14016400,Advance World Asia Logisttics,BS,Other current assets,Prepaid expenses (OCA),1863.95
14016500,Advance Staff,BS,Other current assets,Prepaid expenses (OCA),4083.35
14015200,Prepayment to Supplier,BS,Other current assets,Prepaid expenses (OCA),713984.79
14022010,Other Debtors-Local,BS,Contract liabilities,Consideration received in advance,-191593.0
14022020,Other Debtors-Foreign,BS,Trade receivables,"Unsecured, considered impaired",0.0
14050010,Bank - SCB 8613 (MYR),BS,Cash and cash equivalents,Balance with banks in current accounts,1521475.95
14050020,Bank - SCB 5128 (Payroll),BS,Cash and cash equivalents,Balance with banks in current accounts,160105.52
14050040,Bank - SCB 5245 (USD),BS,Cash and cash equivalents,Balance with banks in current accounts,681015.06
14050030,Bank - SCB 5342 (SGD),BS,Cash and cash equivalents,Balance with banks in current accounts,0.0
