GL Code,GL Description,BSPL,Ind AS Major,Ind AS Minor,(Unaudited) Mar'25,Mar'25 Adjusted
10010101001,Land,BS,Fixed assets," a) Property, plant and equipment",155.77,155.77
10010101002,Building,BS,Fixed assets," a) Property, plant and equipment",39.72,39.72
10010101003,Temparory partition,BS,Fixed assets," a) Property, plant and equipment",242.17,242.17
10010101004,Plant & Machinery,BS,Fixed assets," a) Property, plant and equipment",5671.52,5671.52
10010101005,Plant & Machinery_MFG,BS,Fixed assets," a) Property, plant and equipment",45.12,45.12
10010101006,Furniture & Fixtures,BS,Fixed assets," a) Property, plant and equipment",29.45,29.45
10010101007,Office equipment,BS,Fixed assets," a) Property, plant and equipment",162.41,162.41
10010101008,Computers,BS,Fixed assets," a) Property, plant and equipment",337.73,337.73
10010101009,Vehicles,BS,Fixed assets," a) Property, plant and equipment",49.71,49.71
10010101010,Leased Building_ROU,BS,ROU, c) Right of Use Assets,553.96,1408.98
10010101011,Accumulated Depreciation_Building,BS,Fixed assets," a) Property, plant and equipment",-30.94,-30.94
10010101012,Accumulated Depreciation_Temparory partition,BS,Fixed assets," a) Property, plant and equipment",-57.41,-57.41
10010101013,Accumulated Depreciation_Plant & Machinery,BS,Fixed assets," a) Property, plant and equipment",-2929.1,-2925.9
10010101014,Accumulated Depreciation_Plant & Machinery_MFG,BS,Fixed assets," a) Property, plant and equipment",-6.02,-6.02
10010101015,Accumulated Depreciation_Furniture & Fixures,BS,Fixed assets," a) Property, plant and equipment",-14.43,-14.43
10010101016,Accumulated Depreciation_Office equipment,BS,Fixed assets," a) Property, plant and equipment",-67.11,-67.11
10010101017,Accumulated Depreciation_Computers,BS,Fixed assets," a) Property, plant and equipment",-302.24,-302.24
10010101018,Accumulated Depreciation_Vehicles,BS,Fixed assets," a) Property, plant and equipment",-37.43,-37.43
10010101019,Accumulated Depreciation_Leased Building_ROU,BS,ROU, c) Right of Use Assets,-355.12,-451.03
10010101020,Fixed Asset Control Account,BS,Capital work-in-progress, b) Capital work-in-progress,-0.01,10.27
10010101021,Acquisition clearing account,BS,Control Account,Control Account,0.0,0.0
10010101022,Capital Goods on Hold account,BS,Control Account,Control Account,0.0,0.0
10010102001,Software,BS,Fixed assets, e) Other Intangible assets,181.18,181.18
10010102002,Trade marks,BS,Fixed assets, e) Other Intangible assets,2.15,2.15
10010102005,Goodwill,BS,Fixed assets, d) Goodwill,2022.34,2022.34
10010102007,Distribution network,BS,Fixed assets, e) Other Intangible assets,822.63,822.63
10010102008,Vendor relationship,BS,Fixed assets, e) Other Intangible assets,1781.09,1781.09
10010102003,Accumulated Depreciation_Software,BS,Fixed assets, e) Other Intangible assets,-148.91,-148.91
10010102004,Accumulated Depreciation_Trade marks,BS,Fixed assets, e) Other Intangible assets,-2.15,-2.15
10010102006,Impairment on Goodwill,BS,Fixed assets, d) Goodwill,-812.2,-812.2
10010102009,Amortisation of Distribution network,BS,Fixed assets, e) Other Intangible assets,-616.98,-616.98
10010102010,Amortisation of vendor relationship,BS,Fixed assets, e) Other Intangible assets,-1335.81,-1335.81
10010103001,Tangible work-in-progress,BS,Capital work-in-progress, b) Capital work-in-progress,13.75,13.75
10010103002,Intangible work-in-progress,BS,Capital work-in-progress, f) Intangibles under development,20.81,20.81
10010201001,Investments in Joint venture,BS,Non-current investments,Non-current investments,0.0,0.0
10010201002,Investments in subsidiary,BS,Non-current investments,Non-current investments,0.0,0.0
10010201003,Investments in Associates,BS,Non-current investments,Non-current investments,0.0,0.0
10010201004,Accumulated Impairment loss on investment,BS,Non-current investments,Non-current investments,0.0,0.0
10010301001,Deferred Tax Asset,BS,Deferred tax liabilities,Deferred tax liabilities,701.97,694.71
10010301002,MAT credit - Jeev,BS,Deferred tax liabilities,Deferred tax liabilities,3.05,3.05
10010401007,Advance to Suppliers-Stock,BS,Short-term loans and advances,Advances to suppliers,222.08,218.41
10010401008,Advance to suppliers_Capex,BS,Short-term loans and advances,Advances to suppliers,0.0,0.0
10010401020,Advance to suppliers (Bank),BS,Short-term loans and advances,Advances to suppliers,1.11,1.11
10010401002,Tender Deposit,BS,Other current assets,Security deposits,67.69,67.69
10010401001,Security Deposit,BS,Other current assets,Security deposits,9.01,9.01
10010401009,Sales tax Deposit,BS,Other current assets,Security deposits,0.5,0.5
10010401010,Telephone Deposit,BS,Other current assets,Security deposits,0.03,0.03
10010401011,Electricity Deposit,BS,Other current assets,Security deposits,0.06,0.06
10010401012,CDSL Deposit,BS,Other current assets,Security deposits,0.08,0.08
10010401004,Salary Advance,BS,Short-term loans and advances,Advances to employees,17.2,17.2
10010401015,Staff Advance - MFG,BS,Short-term loans and advances,Advances to employees,0.0,0.0
10010401013,Other Advance Receivables from Employees,BS,Short-term loans and advances,Advances to employees,2.48,2.48
10010401006,Imprest Employee Advance,BS,Short-term loans and advances,Advances to employees,0.0,0.0
10010401014,Travel Advance - Local,BS,Short-term loans and advances,Advances to employees,2.06,2.06
10010401005,Travel Advance-Foreign,BS,Short-term loans and advances,Advances to employees,2.28,2.28
10010401003,Rental Advance - Khadi,BS,Other non-current assets,Rent Deposits,0.0,0.0
10010401016,Rental Advance - KS Ravi kumar,BS,Other non-current assets,Rent Deposits,12.0,12.0
10010401017,Rental Advance-Mylapore Uma Jaganmohan,BS,Other non-current assets,Rent Deposits,21.0,21.0
10010401018,Rental Advance -Eswar (HYD),BS,Other non-current assets,Rent Deposits,0.0,0.0
10010401019,Rental Advance - Godown (mallika),BS,Other non-current assets,Rent Deposits,0.0,0.0
10010401021,Jeev Expenses Reimbursement,BS,Short-term loans and advances,Advances to suppliers,0.0,0.0
10010401022,Rent advance_ROU,BS,ROU,Rent Deposits,-7.02,-42.45
10010401023,Rent Advance_Porur,BS,Other non-current assets,Rent Deposits,0.0,0.0
10010401024,Rental advance - Villivakkam,BS,Other non-current assets,Rent Deposits,75.0,75.0
10020101001,Raw Material_Closing stock,BS,Inventory,Raw materials,253.16,253.16
10020101002,Work-in-progress_Closing stock,BS,Inventory,Work-in-progress,-0.01,-0.01
10020101003,Finished goods_Closing stock,BS,Inventory,Stock-in-trade',0.0,0.0
10020101004,Instruments_Closing stock,BS,Inventory,Stock-in-trade',1349.12,1349.12
10020101005,Spares_Closing stock,BS,Inventory,Stores and spare parts**,486.77,486.77
10020101006,Reagents_Closing stock,BS,Inventory,Stock-in-trade',2403.21,2338.53
10020101007,Accessories & Consumables_Closing stock,BS,Inventory,Stores and spare parts**,227.95,227.95
10020101008,Goods-in-transit_Raw Material,BS,Inventory,Stores and spare parts**,0.0,0.0
10020101009,Goods-in-transit_Finished goods,BS,Inventory,Stores and spare parts**,0.43,0.43
10020101010,Goods-in-transit_Traded goods,BS,Inventory,Stores and spare parts**,0.0,0.0
10020101012,Work in progress variance,BS,Inventory,Work-in-progress,8.39,8.39
10020101013,COVID-19,BS,Inventory,Stock-in-trade',0.66,0.66
10020101014,MFG-Instruments,BS,Inventory,Finished goods,140.35,140.35
10020101015,MFG Ancilliaory Reagents,BS,Inventory,Finished goods,9.32,9.32
10020101017,Inventory - Audit entries,BS,Inventory,Finished goods,-620.94,614.2
10020101018,Raw Material-Reagents_Closing stock,BS,Inventory,Finished goods,168.09,168.09
10020101019,Finished goods-Reagents_Closing stock,BS,Inventory,Finished goods,0.0,0.0
10020201001,Trade receivables - East region,BS,Trade receivables,Trade receivables considered good,691.06,691.06
10020201002,Trade receivables - West region,BS,Trade receivables,Trade receivables considered good,1326.03,1326.03
10020201003,Trade receivables - North region,BS,Trade receivables,Trade receivables considered good,1302.04,1302.04
10020201004,Trade receivables - South region,BS,Trade receivables,Trade receivables considered good,2919.74,2919.74
10020201006,Trade receivables - manual entries,BS,Trade receivables,Trade receivables considered good,924.28,464.63
10020201011,Advance from Customers,BS,Other long-term liabilities,Advances from customers,-7.33,-7.33
10020201007,Doubtful debts reserve,BS,Trade receivables,Less: Provision for doubtful receivables,-278.8,-286.34
10020201009,Trade receivables_Service,BS,Trade receivables,Less: Provision for doubtful receivables,0.0,0.0
10020201010,Invoices to be issued,BS,Trade receivables,Less: Provision for doubtful receivables,0.0,0.0
10020201012,AR Down Payment Interim Account,BS,Trade receivables,Less: Provision for doubtful receivables,0.0,0.0
10020201013,Trade Receivable Group company,BS,Trade receivables,Less: Provision for doubtful receivables,0.0,0.0
10020201005,Trade Creditors - Debit Balances,BS,Trade receivables,Less: Provision for doubtful receivables,0.0,0.0
10020202001,Trade receivables - Export,BS,Trade receivables,Trade receivables considered good,9.95,9.95
10020202002,Trade receivables - Export Channel partner,BS,Trade receivables,Trade receivables considered good,-0.99,-0.99
10020202003,Reinstatement gain or loss on export receivables,BS,Trade receivables,Trade receivables considered good,0.0,0.0
10020301001,Petty Cash A/c ( MFG),BS,Cash and bank balances,Cash on hand,0.0,0.0
10020301005,Petty cash (Chennai),BS,Cash and bank balances,Cash on hand,0.03,0.03
10020301006,Petty Cash A/c (Westminister),BS,Cash and bank balances,Cash on hand,0.0,0.0
10020301007,Petty Cash A/c (Distribution),BS,Cash and bank balances,Cash on hand,0.0,0.0
10020301008,Petty Cash A/c (CSD In House),BS,Cash and bank balances,Cash on hand,0.0,0.0
10020301002,Cash A/c ( Trade),BS,Cash and bank balances,Cash on hand,0.0,0.0
10020301003,Cash A/c - USD,BS,Cash and bank balances,Cash on hand,0.0,0.0
10020301004,Cash A/c - EURO,BS,Cash and bank balances,Cash on hand,0.0,0.0
10020301009,Petty Cash - Jeev,BS,Cash and bank balances,Cash on hand,0.01,0.01
10020302001,State Bank of Travancore - Main a/c,BS,Cash and bank balances,     - In current accounts,0.0,0.0
10020302002,State Bank of Travancore - Issue a/c,BS,Cash and bank balances,     - In current accounts,0.0,0.0
10020302003,State Bank of Travancore - Deposit a/c,BS,Cash and bank balances,     - In current accounts,0.0,0.0
10020302004,Citi bank - Current a/c,BS,Cash and bank balances,     - In current accounts,0.0,0.0
10020302005,Citi bank - Issue a/c,BS,Cash and bank balances,     - In current accounts,0.0,0.0
10020302006,Citi bank - Deposit a/c,BS,Cash and bank balances,Other bank balances,0.0,0.0
10020302007,Citi bank (MFG) - Main a/c,BS,Cash and bank balances,Other bank balances,0.0,0.0
10020302008,Citi bank (MFG) - Issue a/c,BS,Cash and bank balances,Other bank balances,0.0,0.0
10020302009,Citi bank (MFG) - Deposit a/c,BS,Cash and bank balances,Other bank balances,0.0,0.0
10020302010,Bank of Baroda - Main a/c,BS,Cash and bank balances,     - In current accounts,0.89,0.89
10020302011,Bank of Baroda - Issue a/c,BS,Cash and bank balances,     - In current accounts,0.0,0.0
10020302012,Bank of Baroda - Deposit a/c,BS,Cash and bank balances,Other bank balances,0.0,0.0
10020302013,Axis Bank - Main a/c,BS,Cash and bank balances,     - In current accounts,0.0,0.0
10020302014,Axis Bank - Issue a/c,BS,Cash and bank balances,     - In current accounts,0.0,0.0
10020302015,Axis Bank - Deposit a/c,BS,Cash and bank balances,     - In current accounts,0.0,0.0
10020302016,State Bank of India - Main a/c,BS,Cash and bank balances,     - In current accounts,0.0,0.0
10020302017,State Bank of India - Issue a/c,BS,Cash and bank balances,     - In current accounts,0.0,0.0
10020302018,State Bank of India - Deposit a/c,BS,Cash and bank balances,     - In current accounts,0.0,0.0
10020302019,Canara Bank - Main a/c,BS,Cash and bank balances,     - In current accounts,0.0,0.0
10020302020,Canara Bank - Issue a/c,BS,Cash and bank balances,     - In current accounts,0.0,0.0
10020302021,Canara Bank - Deposit a/c,BS,Cash and bank balances,     - In current accounts,0.0,0.0
10020302022,SBI Gratuity a/c,BS,Cash and bank balances,     - In current accounts,0.12,0.12
10020302023,SBI Super annuation a/c,BS,Cash and bank balances,     - In current accounts,0.61,0.61
10020302024,State Bank of India -36854582503,BS,Cash and bank balances,     - In current accounts,0.05,0.05
10020302025,Axis Account -923020039401865,BS,Cash and bank balances,     - In current accounts,25.64,25.64
10020302026,Bank of Baroda-CA A/c,BS,Cash and bank balances,     - In current accounts,1.57,1.57
10020303003,Fixed deposit_Standby Letter of Credit,BS,Cash and bank balances,Other bank balances,0.0,0.0
10020304001,Corporate Guarantee given to third parties,BS,Cash and bank balances,Other bank balances,0.0,0.0
10020304002,Corporate Guarantee given to group companies,BS,Cash and bank balances,Other bank balances,0.0,0.0
10020305001,Fixed Deposits - Primary,BS,Cash and bank balances,Other bank balances,0.0,0.0
10020305002,Fixed Deposits - Others,BS,Cash and bank balances,Other bank balances,603.4,603.4
10020303001,FD - Bank Guarantee - Citi Bank,BS,Cash and bank balances,Other bank balances,8.04,8.04
10020303002,FD - Bank Guarantee - Canara Bank,BS,Cash and bank balances,Other bank balances,0.0,0.0
10020401001,Interest accrued on fixed deposits,BS,Other current assets,Interest accrued on fixed deposits,30.88,30.88
10020402001,Prepaid expenses for Interest,BS,Other Financial Asset,Prepaid expenses,0.0,0.0
10020402002,Prepaid expenses for Insurances,BS,Other Financial Asset,Prepaid expenses,5.74,5.74
10020402003,Prepaid expenses for Leasing,BS,Other Financial Asset,Prepaid expenses,0.0,0.0
10020402004,Other prepaid expense,BS,Other Financial Asset,Prepaid expenses,174.0,174.0
10020402005,Prepaid expenses for License Fee,BS,Other Financial Asset,Prepaid expenses,38.35,38.35
10020402006,Unamortised finance cost_ROU,BS,ROU, c) Right of Use Assets,2.04,36.81
10020403001,Advance tax FY_19-20,BS,Short term provisions,Provision for tax (net of advance tax),0.0,0.0
10020403002,Advance tax FY_20-21,BS,Short term provisions,Provision for tax (net of advance tax),0.0,0.0
10020403003,Advance tax FY_21-22,BS,Short term provisions,Provision for tax (net of advance tax),0.0,0.0
10020403004,Advance tax FY_22-23,BS,Short term provisions,Provision for tax (net of advance tax),0.0,0.0
10020403005,Advance tax FY_23-24,BS,Short term provisions,Provision for tax (net of advance tax),0.0,0.0
10020403006,Advance tax FY_24-25,BS,Short term provisions,Provision for tax (net of advance tax),650.0,650.0
10020403007,Advance tax FY_25-26,BS,Short term provisions,Provision for tax (net of advance tax),0.0,0.0
10020404001,TDS receivables_FY_22-23,BS,Short term provisions,Provision for tax (net of advance tax),0.0,0.0
10020404025,TDS receivables_FY_23-24,BS,Short term provisions,Provision for tax (net of advance tax),0.02,0.02
10020404002,TCS receivables,BS,Short term provisions,Provision for tax (net of advance tax),2.84,2.84
10020404015,TDS on GST,BS,Short term provisions,Provision for tax (net of advance tax),0.0,0.0
10020404003,With holding tax receivables,BS,Short term provisions,Provision for tax (net of advance tax),0.0,0.0
10020404004,Corpoarte Income tax receivables,BS,Short term provisions,Provision for tax (net of advance tax),0.0,0.0
10020404012,Duty Draw back Receivable,BS,Short term provisions,Provision for tax (net of advance tax),0.0,0.0
10020404013,Duty free credit entitlement,BS,Short term provisions,Provision for tax (net of advance tax),0.0,0.0
10020404006,SGST INPUT,BS,Short-term loans and advances,Balances with statutory authorities,0.0,0.0
10020404007,CGST INPUT,BS,Short-term loans and advances,Balances with statutory authorities,0.0,0.0
10020404008,IGST INPUT,BS,Short-term loans and advances,Balances with statutory authorities,0.0,0.0
10020404009,SGST REVERSE CHARGE INPUT,BS,Short-term loans and advances,Balances with statutory authorities,19.33,19.33
10020404010,CGST REVERSE CHARGE INPUT,BS,Short-term loans and advances,Balances with statutory authorities,13.39,13.39
10020404011,IGST REVERSE CHARGE INPUT,BS,Short-term loans and advances,Balances with statutory authorities,107.28,107.28
10020404005,GST Refund - Chennai Branch,BS,Short-term loans and advances,Balances with statutory authorities,600.26,600.26
10020404016,GST Refund - Hyderabad Branch,BS,Short-term loans and advances,Balances with statutory authorities,0.0,0.0
10020404017,GST Refund - Kolkata Branch,BS,Short-term loans and advances,Balances with statutory authorities,0.0,0.0
10020404018,GST Refund - Bangalore Branch,BS,Short-term loans and advances,Balances with statutory authorities,0.0,0.0
10020404019,GST Refund - Kochin Branch,BS,Short-term loans and advances,Balances with statutory authorities,0.0,0.0
10020404020,GST Refund - Delhi Branch,BS,Short-term loans and advances,Balances with statutory authorities,0.0,0.0
10020404022,GST Refund - Mumbai Branch,BS,Short-term loans and advances,Balances with statutory authorities,0.0,0.0
10020404021,GST Refund - Export on sales,BS,Short-term loans and advances,Balances with statutory authorities,0.0,0.0
10020404014,GST Input Tax Interim Account,BS,Short-term loans and advances,Balances with statutory authorities,0.0,100.1
10020404023,GST Input not claimed (GSTR 2B vs Books),BS,Short-term loans and advances,Balances with statutory authorities,18.46,18.46
10020404024,GST Refund - Electronic cash ledger,BS,Short-term loans and advances,Balances with statutory authorities,1.78,1.78
