GL Description,BSPL Category,Major,Minor,Total June 25
Cash in Bank - RCBC,BS,(ii) Cash and cash equivalents,Bank Balance,51240.57
Cash in Bank - CITI,BS,(ii) Cash and cash equivalents,Bank Balance,1386931.78
Lifeline Daignostic Inc.,BS,Investments in Associates,Investments in Associates,640000000
Interest receivable,BS,Other current assets,Interest receivable,0
Due from a related party ,BS,Other current assets,Due from a related party ,0
Accruals (SGD),BS,Other current liabilities,Due to a related party,-1565986.72
Accruals (USD),BS,Other current liabilities,Accrued expense,-223237.6
Everlife Holdings Pte Limited,BS,(i) Borrowings,Advances from stockholders ,-11903999
Everlife Holdings Pte Limited-RP,BS,(i) Borrowings,Loan from Related Parties,-243547464
Retained Earnings,BS,Other Equity,Retained earnings,246529185.7
Everlife Holdings Pte Limited-ES,BS,Equity share capital,Ordinary common shares A,-10500000
Everlife Holdings Pte Limited-RPS,BS,Equity share capital,Redeemable preferred shares,-494500000
Everlife Holdings Pte Limited-Premium,BS,Other Equity,Premium on Redemption of Preffered Stock,0
Miscellaneous Expenses,PL,Other Expenses,Miscellaneous Expenses,8052
Provision for Input VAT,PL,Other Expenses,Legal and professional expenses,5400
Bank Charges,PL,Other Expenses,Bank Charges,10
Rental - Premises - Other RP,PL,Other Expenses,Rent,15000
OPS Legal Fee,PL,Other Expenses,Legal and professional expenses,0
Professional Fees,PL,Professional Fees,Legal and professional expenses,91837.6
Licenses & Permits,PL,Other Expenses,Licenses & Permits,0
Other taxes,PL,Other Expenses,Rates & Taxes,0
Interest Income,PL,Other Income,Interest Income,-695.77
Dividends Income,PL,Other Income,Dividend income,0
Interest Expense ,PL,Other Expenses,Interest Expense ,5846481.105
Other Equity - Financial Liability,BS,Other Equity,Other Equity - Financial Liability,-131692754.7
